Responsible for information;№ p/p;Agreement, №;Structural unit 1;Structural unit 2;Name;Leader;Customer;Customer sector;Average cost of the entire contract;Grant;Co-contractor / subcontractor;Financing;Type of work;Service type;type of service;Direction XX.00.00;Direction XX.XX.00;Direction XX.XX.XX;TRL level;Patents (Numbers)
Аксенова Н.В.;;Задание № 11.7873.2017/БЧ;НГУ ФЕН;ЛабГМ;Исследование электрохимических свойств гибридных материалов на основе графена, углеродных нанотрубок и полианилина и их применение в суперконденсаторах;Федоровская Екатерина Олеговна;Министерство науки и высшего образования РФ;Управление высшим образованием и наукой;2 332 750,00;Грант;;Бюджетное;НИР;Проведение исследований;Подходы и методы;"47: ЭЛЕКТРОНИКА. РАДИОТЕХНИКА; 
31: ХИМИЯ";"47.09: МАТЕРИАЛЫ ДЛЯ ЭЛЕКТРОНИКИ И РАДИОТЕХНИКИ; 
31.15: ФИЗИЧЕСКАЯ ХИМИЯ";"47.09.48: НАНОМАТЕРИАЛЫ ДЛЯ ЭЛЕКТРОНИКИ; 
31.15.33: ЭЛЕКТРОХИМИЯ";2;
Ерманюк Е.И.;;РФФИ 19-05-00730;ИНГГ СО РАН;Лаб.динамических проблем сейсмики;Калибровка и уточнение эффективных моделей трещиноватых сред по данным акустических измерений на искусственных образцах, напечатанных на 3D-принтере;"Дугаров 
Гэсэр Александрович";Российский Фонд Фундаментальных Исследований;Финансовая и организационная поддержка фундаментальных научных исследований;900 000,00;Грант;Нет;Внебюджетное;НИР;Проведение исследований;Подходы и методы;37: ГЕОФИЗИКА;37.01: ОБЩИЕ ВОПРОСЫ ГЕОФИЗИКИ;37.01.77: МЕТОДЫ ИССЛЕДОВАНИЯ И МОДЕЛИРОВАНИЯ. МАТЕМАТИЧЕСКИЕ И КИБЕРНЕТИЧЕСКИЕ МЕТОДЫ;1;
Аксенова Н.В.;;РФФИ(И)-01011/16;НГУ ГГФ;УНЛПГГИ;Комбинированные базит-гранитоидные дайковые комплексы Центрально-Азиатского складчатого пояса: источники расплавов и механизмы формирования;Владимиров Владимир Геннадьевич;Российский Фонд Фундаментальных Исследований;Финансовая и организационная поддержка фундаментальных научных исследований;1 854 000,00;Грант;;Бюджетное;НИР;Проведение исследований;Подходы и методы;38: ГЕОЛОГИЯ;"38.33: ГЕОХИМИЯ; 
38.37: ПЕТРОГРАФИЯ
";"38.33.17: ГЕОХИМИЯ ПРИРОДНЫХ ПРОЦЕССОВ; 
38.37.19: МАГМАТИЗМ И МАГМАТИЧЕСКИЕ ГОРНЫЕ ПОРОДЫ; 
38.37.21: МЕТАМОРФИЗМ И МЕТАМОРФИЧЕСКИЕ ГОРНЫЕ ПОРОДЫ";2;
Аксенова Н.В.;;18-35-00556 мол_а 2018;НГУ ГГФ;—;Комплексное исследование тектонического положения и этапов становления древнейших массивов основных пород в аккреционно-коллизионной структуре Енисейского кряжа;Матушкин Николай Юрьевич;Российский Фонд Фундаментальных Исследований;Финансовая и организационная поддержка фундаментальных научных исследований;1 000 000,00;Грант;;Бюджетное;НИР;Проведение исследований;Подходы и методы;38: ГЕОЛОГИЯ;"38.21: РЕГИОНАЛЬНАЯ ГЕОЛОГИЯ; 
38.17: ТЕКТОНИКА; 
38.37: ПЕТРОГРАФИЯ; 
38.33: ГЕОХИМИЯ";"38.21.17: РЕГИОНАЛЬНАЯ ГЕОЛОГИЯ РОССИИ И ДРУГИХ БЫВШИХ РЕСПУБЛИК СССР; 
38.17.17: СТРУКТУРНАЯ ГЕОЛОГИЯ; 
38.37.21: МЕТАМОРФИЗМ И МЕТАМОРФИЧЕСКИЕ ГОРНЫЕ ПОРОДЫ; 
38.33.27: АБСОЛЮТНЫЙ ВОЗРАСТ ПОРОД И МИНЕРАЛОВ";1;
Аксенова Н.В.;;РФФИ-60086/15;НГУ ФЕН;НОЦМДЭБТФЕН;Комплексное исследование факторов, влияющих на механохимические реакции с участием молекулярных кристаллических веществ;Туманов Иван Андреевич;Российский Фонд Фундаментальных Исследований;Финансовая и организационная поддержка фундаментальных научных исследований;5 100 000,00;Грант;;Бюджетное;НИР;Проведение исследований;Подходы и методы;31: ХИМИЯ;31.15: ФИЗИЧЕСКАЯ ХИМИЯ;31.15.19: ХИМИЯ ТВЕРДОГО ТЕЛА;3;
Медных Д.А.;;№ 007-15 от 06.04.2015;ИНГГ СО РАН;Лаб.микропалеонтологии;Комплексное полевое геологическое изучение естественных выходов триаса и юры на побережье Анабарского залива моря Лаптевых;Никитенко Борис Леонидович;БиПи Эксплорэйшн Оперейтинг Компани Лимитед;Нефть/Газ;5 200 000,00;Не грант;;Внебюджетное;НИР;Проведение исследований;Подходы и методы;;;;;
Медных Д.А.;;№ 417-09 от 03.07.2017;ИНГГ СО РАН;Лаб.динамических проблем сейсмики;Консультационные услуги по оценке технологий и алгоритмов ИНГГ СО РАН в области сейсмической интерпретации с целью повышения качества создаваемых сейсмологических моделей;Митрофанов Георгий Михайлович;Газпромнефть НТЦ ООО;Нефть/Газ;5 900 000,00;Не грант;;Внебюджетное;НИР;Методическая поддержка пользователей;Подходы и методы;37: ГЕОФИЗИКА;37.01: ОБЩИЕ ВОПРОСЫ ГЕОФИЗИКИ;37.01.77: МЕТОДЫ ИССЛЕДОВАНИЯ И МОДЕЛИРОВАНИЯ. МАТЕМАТИЧЕСКИЕ И КИБЕРНЕТИЧЕСКИЕ МЕТОДЫ;;
Аксенова Н.В.;;ОК-07-Р-П/2014;НГУ ФФ;ЛСДУиНС;Контроль параметров радиационно-технологической установки ускорителем электронов ИЛУ 10 и проведение измерений поглощенногй дозы в образцах;Цыбуля Сергей Васильевич;ИЯФ СО РАН;Научные исследования и разработки;807 040,00;Не грант;;Внебюджетное;НИР;Проведение исследований;Подходы и методы;;;;4;
Медных Д.А.;;№ 419-06 от 20.05.2019;ИНГГ СО РАН;Лаб.палеонтологии и стратиграфии палеозоя;"Лабораторно-аналитические исследования по теме:""Выполнение геологосъемочных и картосоставительных работ в пределах листа N-45-XXVII (Солтон)""";Коровников Игорь Валентинович;Сибирское ПГО АО ;Нефть/Газ;460 092,00;Не грант;;Внебюджетное;НИР;Проведение исследований;Подходы и методы;;;;;
Медных Д.А.;;№ 419-11 от 20.09.2019;ИНГГ СО РАН;Лаб.палеонтологии и стратиграфии палеозоя;"Лабораторно-аналитические исследования по теме:""Выполнение геологосъемочных и картосоставительных работ в пределах листа М-45-XXVII, XXVIII (Беляши)""";Коровников Игорь Валентинович;Сибирское ПГО АО ;Нефть/Газ;720 000,00;Не грант;;Внебюджетное;НИР;Проведение исследований;Подходы и методы;;;;;
Ерманюк Е.И.;;РФФИ 17-35-80023;ИНГГ СО РАН;Лаб.динамических проблем сейсмики;Лабораторные эксперименты по формированию газогидратов в угольных образцах и измерению их акустических свойств для разработки геофизических методов мониторинга и прогноза газодинамических явлений при разработке угольных месторождений;"Дугаров 
Гэсэр Александрович";Российский Фонд Фундаментальных Исследований;Финансовая и организационная поддержка фундаментальных научных исследований;2 000 000,00;Грант;Нет;Внебюджетное;НИР;Проведение исследований;Подходы и методы;38: ГЕОЛОГИЯ;38.41.00 Методы лабораторных минералого-петрографических и геохимических исследований;38.41.99 Другие методы исследования;1;
Медных Д.А.;;№ 419-01 от 25.01.2019;ИНГГ СО РАН;Лаб.естественных геофизических полей;Магнитостратиграфические исследования отложений верхнего мела Западной Сибири;Гнибиденко Зинаида Никитична;ТННЦ ООО;Научные исследования и разработки;1 845 888,00;Не грант;;Внебюджетное;НИР;Проведение исследований;Подходы и методы;;;;;
Аксенова Н.В.;;Соглашение № 14.Y31.16.6848-НШ;НГУ ММФ;—;Математическая логика и теория вычислимости;Гончаров Сергей Савостьянович;Правительство РФ;Финансовая и организационная поддержка фундаментальных научных исследований;1 980 000,00;Грант;;Бюджетное;НИР;Проведение исследований;Подходы и методы;27: МАТЕМАТИКА;27.03: МАТЕМАТИЧЕСКАЯ ЛОГИКА И ОСНОВАНИЯ МАТЕМАТИКИ;"27.03.19: МАТЕМАТИЧЕСКАЯ ЛОГИКА; 27.03.45: ТЕОРИЯ ВЫЧИСЛИМОСТИ; 27.03.66: МАТЕМАТИЧЕСКИЕ СТРУКТУРЫ. ТЕОРИЯ МОДЕЛЕЙ
27.03.19: МАТЕМАТИЧЕСКАЯ ЛОГИКА
";1;
Медных Д.А.;;№ 013-17 от 01.12.2017;ИНГГ СО РАН;Лаб.теоретических основ прогноза НГ ;Математическое и лабораторное моделирование процессов массопереноса в трубах;Бурштейн Лев Маркович;ГАЗПРОМ ГЕОЛОГОРАЗВЕДКА ООО;Нефть/Газ;33 576 000,00;Не грант;;Внебюджетное;НИР;Моделирование;Подходы и методы;;;;;
Аксенова Н.В.;;3010-15/348-13;НГУ ММФ;ЛНПГС;Математическое моделирование и натурное измерение гидродинамических параметров, характеризующих процессы перемешивания, эволюции, трансформации и обрушения нелинейных внутренних волн в шельфовой зоне моря;Чесноков Александр Александрович;ВО ВГУ ФГБОУ ;Образование высшее;1 560 000,00;Не грант;;Внебюджетное;НИР;Моделирование;Подходы и методы;"27: МАТЕМАТИКА; 
30: МЕХАНИКА";"27.35: МАТЕМАТИЧЕСКИЕ МОДЕЛИ ЕСТЕСТВЕННЫХ НАУК И ТЕХНИЧЕСКИХ НАУК. УРАВНЕНИЯ МАТЕМАТИЧЕСКОЙ ФИЗИКИ; 
30.17: МЕХАНИКА ЖИДКОСТИ И ГАЗА";"27.35.21: МАТЕМАТИЧЕСКИЕ МОДЕЛИ ГИДРОДИНАМИКИ; 
30.17.19: ТЕОРИЯ ВОЛН И КОЛЕБАНИЙ ЖИДКОСТИ";2;
Аксенова Н.В.;;17-43-543303 р_мол_а;НГУ ММФ;ЛабГА;Математическое моделирование и экспериментальное изучение диффузии компонентов нефти в иерархически пористых катализаторах;Малькович Евгений Геннадьевич;Российский Фонд Фундаментальных Исследований;Финансовая и организационная поддержка фундаментальных научных исследований;2 000 000,00;Грант;;Бюджетное;НИР;Моделирование;Подходы и методы;"31: ХИМИЯ; 
27: МАТЕМАТИКА";"31.15: ФИЗИЧЕСКАЯ ХИМИЯ; 
27.35: МАТЕМАТИЧЕСКИЕ МОДЕЛИ ЕСТЕСТВЕННЫХ НАУК И ТЕХНИЧЕСКИХ НАУК. УРАВНЕНИЯ МАТЕМАТИЧЕСКОЙ ФИЗИКИ";"31.15.28: ТОПОХИМИЯ. ГЕТЕРОГЕННЫЙ КАТАЛИЗ; 
27.35.45: МАТЕМАТИЧЕСКИЕ МОДЕЛИ ТЕПЛОПРОВОДНОСТИ И ДИФФУЗИИ";2;
Аксенова Н.В.;;Задание № 1.6366.2017/БЧ;НГУ ММФ;ЛМУФ;Математическое моделирование многосердцевинных и многомодовых волоконных световодов с приложениями в лазерах и телекоммуникационных системах;Беднякова Анастасия Евгеньевна;Министерство науки и высшего образования РФ;Управление высшим образованием и наукой;3 889 852,00;Грант;;Бюджетное;НИР;Моделирование;Подходы и методы;27: МАТЕМАТИКА;"27.31: ДИФФЕРЕНЦИАЛЬНЫЕ УРАВНЕНИЯ С ЧАСТНЫМИ ПРОИЗВОДНЫМИ; 
27.41: ВЫЧИСЛИТЕЛЬНАЯ МАТЕМАТИКА";"27.31.21: НЕЛИНЕЙНЫЕ УРАВНЕНИЯ И СИСТЕМЫ УРАВНЕНИЙ; 
27.41.19: ЧИСЛЕННЫЕ МЕТОДЫ РЕШЕНИЯ ДИФФЕРЕНЦИАЛЬНЫХ И ИНТЕГРАЛЬНЫХ УРАВНЕНИЙ";3;
Аксенова Н.В.;;Соглашение № 14.Y31.16.9161-НШ;НГУ ММФ;ЛМУФ;Математическое моделирование нелинейных фотонных систем;Федорук Михаил Петрович;Правительство РФ;Финансовая и организационная поддержка фундаментальных научных исследований;1 980 000,00;Грант;;Бюджетное;НИР;Моделирование;Подходы и методы;"27: МАТЕМАТИКА; 
29: ФИЗИКА; 
49: СВЯЗЬ";"27.35: МАТЕМАТИЧЕСКИЕ МОДЕЛИ ЕСТЕСТВЕННЫХ НАУК И ТЕХНИЧЕСКИХ НАУК. УРАВНЕНИЯ МАТЕМАТИЧЕСКОЙ ФИЗИКИ; 
29.31: ОПТИКА; 
49.44: СВЕТОВОДНАЯ СВЯЗЬ И АППАРАТУРА";"27.35.36: МАТЕМАТИЧЕСКИЕ МОДЕЛИ ЛАЗЕРНОЙ ФИЗИКИ; 
29.31.15: ИЗЛУЧЕНИЕ И ВОЛНОВАЯ ОПТИКА;  
49.44.31: СВЕТОВОДНЫЕ ЛИНИИ СВЯЗИ";2;
Аксенова Н.В.;;074-G02 5367;НГУ ГГФ;—;Миаровые пегматиты - как модель зарождения рудоносных растворов в очагах редкометальной грантной магмы;Соколова Екатерина Николаевна;Правительство РФ;Финансовая и организационная поддержка фундаментальных научных исследований;1 200 000,00;Грант;;Бюджетное;НИР;Проведение исследований;Подходы и методы;;;;1;
Медных Д.А.;;№ 417-02 от 10.02.2017;ИНГГ СО РАН;Лаб.палеонтологии и стратиграфии мезозоя и кайнозоя;Микропалеонтологические исследования;Лебедева Наталья Константиновна;ТомскНИПИнефть;Научные исследования и разработки;1 100 000,00;Не грант;;Внебюджетное;НИР;Проведение исследований;Подходы и методы;"38: ГЕОЛОГИЯ; 
37: ГЕОФИЗИКА";;;;
Ерманюк Е.И.;;№ 14.W03.31.0002;ИГиЛ СО РАН;Лаб.механики неупорядоченных сред;Многомасштабная механика течений и разрушения в неупорядоченных пористых средах (Грант  для государственной поддержки научных исследований, проводимых под руководством ведущих ученых);"Сантуччи 
Стефан Франсуа Александр";Правительство РФ;Финансовая и организационная поддержка фундаментальных научных исследований;90 000 000,00;Грант;Страсбургский университет;Бюджетное;НИР;Разработка и тестирование модели/прототипа под гипотезу;подходы и методы;30: МЕХАНИКА;30.51: КОМПЛЕКСНЫЕ И СПЕЦИАЛЬНЫЕ РАЗДЕЛЫ МЕХАНИКИ;30.51.27: ТЕЧЕНИЯ СРЕД С ОСОБЫМИ СВОЙСТВАМИ;3;-
Ерманюк Е.И.;;№ 14.W03.31.0002;ИГиЛ СО РАН;Лаб.механики неупорядоченных сред;Многомасштабная механика течений и разрушения в неупорядоченных пористых средах (Грант  для государственной поддержки научных исследований, проводимых под руководством ведущих ученых);"Сантуччи 
Стефан Франсуа Александр";Правительство РФ;Финансовая и организационная поддержка фундаментальных научных исследований;90 000 000,00;Грант;Страсбургский университет;Бюджетное;НИР;Разработка и тестирование модели/прототипа под гипотезу;подходы и методы;30: МЕХАНИКА;30.51: КОМПЛЕКСНЫЕ И СПЕЦИАЛЬНЫЕ РАЗДЕЛЫ МЕХАНИКИ;30.51.27: ТЕЧЕНИЯ СРЕД С ОСОБЫМИ СВОЙСТВАМИ;3;"1) Свидетельство № 2019614205 «Программа усвоения данных результатов ядерной магнитно-резонансной томографии «MRI-assimilator». Авторы: Маматюков М.Ю., Паршин Д.В., Черевко А.А.
2) Свидетельство № 2019664165 «Вычислительный пакет FEMEngine на основе
метода конечных элементов с линейными конечными элементами на треугольной
сетке». Авторы: Гурин А. М., Полянский Т.А., Байкин А.Н.
Программы ЭВМ
3) Свидетельство № 2019664274 «Модуль расчета дебита горизонтальной скважины с
МГРП на основе численного моделирования в пакете FreeFEM++». Авторы:
Головин С.В., Старовойтова  Б.Н."
Аксенова Н.В.;;РФФИ(И)-03867/15;НГУ ФФ;ЛНТ;Моделирование газодинамики и теплообмена в высокопористых материалах в высокоскоростных потоках;Миронов Сергей Григорьевич;Российский Фонд Фундаментальных Исследований;Финансовая и организационная поддержка фундаментальных научных исследований;1 471 420,00;Грант;;Бюджетное;НИР;Моделирование;Подходы и методы;30: МЕХАНИКА;30.17: МЕХАНИКА ЖИДКОСТИ И ГАЗА;"30.17.35: ТЕПЛОМАССОПЕРЕНОС; 
30.17.53: ПРИКЛАДНАЯ АЭРОДИНАМИКА";2;
Аксенова Н.В.;;19-08-01010;НГУ ФФ;ЛФТОЭ;Моделирование роста газовых пузырьков в вязкой газонасыщенной среде при изменяющихся внешних условиях;Давыдов Максим Николаевич;Российский Фонд Фундаментальных Исследований;Финансовая и организационная поддержка фундаментальных научных исследований;3 000 000,00;Грант;;Бюджетное;НИР;Моделирование;Подходы и методы;30: МЕХАНИКА;30.17: МЕХАНИКА ЖИДКОСТИ И ГАЗА;"30.17.23: ВЯЗКАЯ ЖИДКОСТЬ; 
30.17.35: ТЕПЛОМАССОПЕРЕНОС";2;
Аксенова Н.В.;;19-33-90026;НГУ ФФ;ЛСиФСМС;Молекулярная подвижность и механизм разделения линейных и разветвленных алканов в металл-органическом каркасе UiO-66 (Zr): влияние структурной формы неорганического центра;Колоколов Даниил Игоревич;Российский Фонд Фундаментальных Исследований;Финансовая и организационная поддержка фундаментальных научных исследований;1 200 000,00;Грант;;Бюджетное;НИР;Проведение исследований;Подходы и методы;31: ХИМИЯ;31.15: ФИЗИЧЕСКАЯ ХИМИЯ;"31.15.15: ИССЛЕДОВАНИЯ СТРОЕНИЯ И СВОЙСТВ МОЛЕКУЛ И ХИМИЧЕСКОЙ СВЯЗИ; 
31.15.28: ТОПОХИМИЯ. ГЕТЕРОГЕННЫЙ КАТАЛИЗ; 
31.15.35: ПОВЕРХНОСТНЫЕ ЯВЛЕНИЯ. АДСОРБЦИЯ. ХРОМАТОГРАФИЯ. ИОННЫЙ ОБМЕН";3;
Ерманюк Е.И.;;РФФИ 16-35-60087;ИНГГ СО РАН;Лаб.динамических проблем сейсмики;Мониторинг сейсмологического проявления динамики резервуара наземной и скважинной системами наблюдений в условиях неоднородной скоростной модели и различных физических характеристик сейсмоприемников;"Яскевич 
Сергей Владимирович";Российский Фонд Фундаментальных Исследований;Финансовая и организационная поддержка фундаментальных научных исследований;4 600 000,00;Грант;Нет;Внебюджетное;НИР;Проведение исследований;Подходы и методы;37: ГЕОФИЗИКА;37.01: ОБЩИЕ ВОПРОСЫ ГЕОФИЗИКИ;37.01.77: МЕТОДЫ ИССЛЕДОВАНИЯ И МОДЕЛИРОВАНИЯ. МАТЕМАТИЧЕСКИЕ И КИБЕРНЕТИЧЕСКИЕ МЕТОДЫ;3;
Аксенова Н.В.;;Дог.№14.Y26.31.0018;НГУ ГГФ;ЛабЭПОМ;Мультидисциплинарное изучение складчатых поясов тихоокеанского типа и разработка согласованной модели эволюции океанов, их активных окраин и мантийного магматизма;Шигенори Маруяма;Правительство РФ;Финансовая и организационная поддержка фундаментальных научных исследований;90 000 000,00;Грант;;Бюджетное;НИР;Разработка и тестирование модели/прототипа под гипотезу;Подходы и методы;38: ГЕОЛОГИЯ;"38.17: ТЕКТОНИКА; 
38.19: ГЕОЛОГО-ГЕОФИЗИЧЕСКИЕ ИССЛЕДОВАНИЯ ГЛУБИННОГО СТРОЕНИЯ ЗЕМЛИ
";"38.17.21: ПАЛЕОТЕКТОНИЧЕСКИЕ РЕКОНСТРУКЦИИ;  
38.17.23: СРАВНИТЕЛЬНАЯ ТЕКТОНИКА; 
38.19.15: ВНУТРЕННЕЕ СТРОЕНИЕ И ПРОИСХОЖДЕНИЕ ЗЕМЛИ";4;
Медных Д.А.;;№ 011-17В от 02.05.2017;ИНГГ СО РАН;Лаб.динамических проблем сейсмики;Настройка и использование наземной микросейсмической регистрирующей системы;"Дучков 
Антон Альбертович";Алмаз-Сервис Казахстан;Нефть/Газ;3 300 000,00;Не грант;;Внебюджетное;НИР;Разработка и тестирование модели/прототипа под гипотезу;Подходы и методы;;;;;
Аксенова Н.В.;;Договор №О-64-19;НГУ ММФ;ЛАПДиМО;Научно-исследовательские работы по разработке алгоритма прогнозирования параметров скважин по историческим данным;Павловский Евгений Николаевич;Новосибирский Научно-технический центр, ООО;Научные исследования и разработки;1 200 000,00;Не грант;;Внебюджетное;НИР;Проведение исследований;Подходы и методы;"27: МАТЕМАТИКА; 
28: КИБЕРНЕТИКА";"27.41: ВЫЧИСЛИТЕЛЬНАЯ МАТЕМАТИКА; 28.23: ИСКУССТВЕННЫЙ ИНТЕЛЛЕКТ";"27.41.41: АЛГОРИТМЫ РЕШЕНИЯ ЗАДАЧ ВЫЧИСЛИТЕЛЬНОЙ И ДИСКРЕТНОЙ МАТЕМАТИКИ; 28.23.29: ПРОГРАММНАЯ РЕАЛИЗАЦИЯ ИНТЕЛЛЕКТУАЛЬНЫХ СИСТЕМ; 28.23.37: НЕЙРОННЫЕ СЕТИ";4;
Аксенова Н.В.;;РНФ №15-11-20013;НГУ ММФ;ЛНПГС;Нелинейные волновые процессы в сложных гидродинамических системах;Павлов Максим Валентинович;Российский научный фонд;Финансовая и организационная поддержка фундаментальных научных исследований;17 000 000,00;Грант;;Бюджетное;НИР;Проведение исследований;Подходы и методы;"27: МАТЕМАТИКА; 
30: МЕХАНИКА";"27.31: ДИФФЕРЕНЦИАЛЬНЫЕ УРАВНЕНИЯ С ЧАСТНЫМИ ПРОИЗВОДНЫМИ; 
30.17: МЕХАНИКА ЖИДКОСТИ И ГАЗА";;4;
Медных Д.А.;;№ 415-07 от 01.08.2015;ИНГГ СО РАН;Лаб.ГНГ арктических регионов Сибири;Нефтегназопроизводящие толщи и нефтегазоносные резервуары юры севера Западной Сибири (Ямальская, Гыданская и северо-западная часть Енисей-Хатангской НГО;Нехаев Александр Юрьевич;НППГМ Геосейс ООО;Научные исследования и разработки;5 000 000,00;Не грант;;Внебюджетное;НИР;Проведение исследований;Подходы и методы;;;;;
Аксенова Н.В.;;Соглашение № 17-71-10128;НГУ ФФ;ЛНВПФФ;Новые подходы к передаче и кодированию информации на основе метода обратной задачи рассеяния;Гелаш Андрей Александрович;Российский научный фонд;Финансовая и организационная поддержка фундаментальных научных исследований;3 000 000,00;Грант;;Бюджетное;НИР;Проведение исследований;Подходы и методы;"27: МАТЕМАТИКА; 
29: ФИЗИКА; 
49: СВЯЗЬ";"27.35: МАТЕМАТИЧЕСКИЕ МОДЕЛИ ЕСТЕСТВЕННЫХ НАУК И ТЕХНИЧЕСКИХ НАУК. УРАВНЕНИЯ МАТЕМАТИЧЕСКОЙ ФИЗИКИ; 
29.33: ЛАЗЕРНАЯ ФИЗИКА";"27.35.55: СОЛИТОННЫЕ РЕШЕНИЯ ЭВОЛЮЦИОННЫХ УРАВНЕНИЙ; 
29.33.25: НЕЛИНЕЙНЫЕ ОПТИЧЕСКИЕ СВОЙСТВА СРЕД; 
49.03.03: ТЕОРИЯ ПЕРЕДАЧИ ИНФОРМАЦИИ ПО КАНАЛАМ СВЯЗИ";1;
Ерманюк Е.И.;;№ 01-2;ИНГГ СО РАН;Лаб.динамических проблем сейсмики;Обработка и анализ данных сейсмологического и микросейсмического мониторинга;"Дучков 
Антон Альбертович";Алмаз-Сервис Казахстан;Нефть/Газ;12 000 000,00;Не грант;Нет;Внебюджетное;НИР;Проведение исследований;Подходы и методы;37: ГЕОФИЗИКА;37.01: ОБЩИЕ ВОПРОСЫ ГЕОФИЗИКИ;37.01.77: МЕТОДЫ ИССЛЕДОВАНИЯ И МОДЕЛИРОВАНИЯ. МАТЕМАТИЧЕСКИЕ И КИБЕРНЕТИЧЕСКИЕ МЕТОДЫ;4;
Аксенова Н.В.;;РНФ № 17-11-01173;НГУ ММФ;ЛПВ;Одно- и многокомпонентные случайные блуждания и процессы в меняющихся и случайных средах;Фосс Сергей Георгиевич;Российский научный фонд;Финансовая и организационная поддержка фундаментальных научных исследований;18 000 000,00;Грант;;Бюджетное;НИР;Проведение исследований;Подходы и методы;27: МАТЕМАТИКА;27.43: ТЕОРИЯ ВЕРОЯТНОСТЕЙ И МАТЕМАТИЧЕСКАЯ СТАТИСТИКА;27.43.15: ТЕОРИЯ ВЕРОЯТНОСТЕЙ И СЛУЧАЙНЫЕ ПРОЦЕССЫ;3;
Аксенова Н.В.;;РФФИ(И)-00476/16;НГУ ФЕН;ЛЭКП;Окисление диметоксиметана как перспективный метод синтеза диметилкарбоната;Печенкин Алексей Александрович;Российский Фонд Фундаментальных Исследований;Финансовая и организационная поддержка фундаментальных научных исследований;900 000,00;Грант;;Бюджетное;НИР;Проведение исследований;Химия и новые материалы;31: ХИМИЯ;31.15: ФИЗИЧЕСКАЯ ХИМИЯ;"31.15.27: КИНЕТИКА. ГОМОГЕННЫЙ КАТАЛИЗ. ГОРЕНИЕ. ВЗРЫВЫ; 
31.15.28: ТОПОХИМИЯ. ГЕТЕРОГЕННЫЙ КАТАЛИЗ";1;
Аксенова Н.В.;;NSK/R&D/98/2015;НГУ ФИТ;—;Оптимизация открытых библиотек  по компьютерному зрению и машинному обучению для интегрированной графики Intel с помощью C/C++ компилятора Intel;Городничев Максим Александрович;Интел А/О;Инфокоммуникационные разработки;310 000,00;Не грант;;Внебюджетное;НИР;Проведение исследований;Подходы и методы;;;;3;
Аксенова Н.В.;;РФФИ(И)-00250/16;НГУ ФФ;ЛФОЯФФ;Опто-акустический метод измерения малых деформаций с использованием фемтосекундного лазера;Скворцов Михаил Николаевич;Российский Фонд Фундаментальных Исследований;Финансовая и организационная поддержка фундаментальных научных исследований;1 619 000,00;Грант;;Бюджетное;НИР;Проведение исследований;Подходы и методы;29: ФИЗИКА;"29.31: ОПТИКА; 
29.33: ЛАЗЕРНАЯ ФИЗИКА; 
29.37: АКУСТИКА";;2;
Медных Д.А.;;№ 004-16 от 01.09.2016;ИНГГ СО РАН;Лаб.скважинной геофизики;Опытно-промышленные работы по разработке нового электромагнитного зонда для высокоразрешающего каротажа нефтегазовых скважин;Глинских Вячеслав Николаевич;СНГЕО ПАО;Нефть/Газ;15 721 667,54;Не грант;;Внебюджетное;НИОКР;Изготовление прототипов, опытных образцов/партий;Оборудование и установки;;;;;
Ерманюк Е.И.;;№ 3/2020;ИГиЛ СО РАН;Лаб.цифровых и интеллектуальных систем добычи углеводородов;Отработка методики исследования вязко-упругих свойств негуаровых гелей ;Головин Cергей Валерьевич;Мастер кемикалз ООО;Химические технологии для всех этапов добычи нефти;340 000,00;Не грант;Нет;Внебюджетное;НИР;Разработка и тестирование модели/прототипа под гипотезу;Подходы и методы;30: МЕХАНИКА;30.51: КОМПЛЕКСНЫЕ И СПЕЦИАЛЬНЫЕ РАЗДЕЛЫ МЕХАНИКИ;30.51.27: ТЕЧЕНИЯ СРЕД С ОСОБЫМИ СВОЙСТВАМИ;6;-
Ерманюк Е.И.;;№ 4/2020 от 07.08.2020;ИГиЛ СО РАН;Лаб.цифровых и интеллектуальных систем добычи углеводородов;Отработка методики исследования вязко-упругих свойств негуаровых гелей (жидкостей гидроразрыва);Головин Cергей Валерьевич;НИКА-ПЕТРОТЭК ООО;Химические технологии для всех этапов добычи нефти;340 000,00;Не грант;Нет;Внебюджетное;НИР;Разработка и тестирование модели/прототипа под гипотезу;Подходы и методы;30: МЕХАНИКА;30.51: КОМПЛЕКСНЫЕ И СПЕЦИАЛЬНЫЕ РАЗДЕЛЫ МЕХАНИКИ;30.51.27: ТЕЧЕНИЯ СРЕД С ОСОБЫМИ СВОЙСТВАМИ;6;-
Медных Д.А.;;№ 019-01 от 25.03.2019;ИНГГ СО РАН;Лаб.геохимии нефти и газа;"Оценка новых стратегических напрвлений развития ресурсной базы ПАО ""газпром нефть"" в регионах Восточной Сибири и Дальнего Востока";Парфенова Татьяна Михайловна;ГАЗПРОМ НЕФТЬ ПАО;Нефть/Газ;105 000 000,00;Не грант;;Внебюджетное;НИР;Поиск существующих технологий под решение вызова;Подходы и методы;;;;;
